epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,341.79,1.46194,2.0049,1.76276,1.29125,0,0.35562,0.48996,0.35136,0.13365,0.28061,0.51068,0.23375,0.06563,1.92009,1.44046,2.35723,1.48045,0,0.00066595,0.00066595,0.00066595
2,671.453,1.4484,1.81128,1.44879,1.26993,0,0.64606,0.59839,0.59965,0.26855,0.60663,0.4739,0.4198,0.11511,1.73963,1.31208,1.76252,1.37592,0,0.00128864,0.00128864,0.00128864
3,1005.16,1.39918,1.7758,1.39269,1.2575,0,0.60606,0.55607,0.52537,0.23594,0.55592,0.51807,0.40789,0.12209,1.8387,1.31105,1.71346,1.41589,0,0.00186733,0.00186733,0.00186733
4,1334.47,1.33477,1.74635,1.29448,1.2289,0,0.66138,0.6506,0.6033,0.32939,0.56746,0.56375,0.43911,0.13207,1.543,1.30308,1.56987,1.25076,0,0.001802,0.001802,0.001802
5,1663.21,1.27053,1.71414,1.25178,1.20427,0,0.74851,0.63351,0.67753,0.38342,0.69043,0.5743,0.56594,0.16816,1.49005,1.28126,1.4836,1.22948,0,0.001736,0.001736,0.001736
6,1995.41,1.21676,1.71867,1.18019,1.17694,0,0.67997,0.6747,0.61357,0.36306,0.62037,0.56225,0.4868,0.15195,1.40818,1.27709,1.5049,1.1711,0,0.00167,0.00167,0.00167
7,2324.35,1.18484,1.67048,1.1371,1.17211,0,0.66709,0.64659,0.60569,0.36185,0.60065,0.55573,0.4633,0.14586,1.3711,1.28955,1.44055,1.15949,0,0.001604,0.001604,0.001604
8,2656.48,1.13256,1.66388,1.08755,1.13991,0,0.79489,0.66925,0.70018,0.44604,0.71742,0.61176,0.56183,0.16989,1.29769,1.27664,1.30962,1.11362,0,0.001538,0.001538,0.001538
9,2986.84,1.12057,1.64304,1.06678,1.13903,0,0.76435,0.68273,0.68848,0.41394,0.65978,0.61044,0.55165,0.17814,1.33383,1.21786,1.28996,1.12766,0,0.001472,0.001472,0.001472
10,3316.34,1.11169,1.64648,1.04831,1.1359,0,0.82407,0.69604,0.71967,0.44487,0.73816,0.6227,0.58053,0.18765,1.34887,1.24566,1.25298,1.12645,0,0.001406,0.001406,0.001406
11,3651.61,1.07449,1.61517,1.02628,1.12536,0,0.8166,0.67953,0.73004,0.49107,0.72034,0.59997,0.56076,0.17322,1.16192,1.26934,1.19845,1.02858,0,0.00134,0.00134,0.00134
12,3976.62,1.04813,1.60534,1.00165,1.119,0,0.80016,0.65863,0.73375,0.5028,0.71581,0.57831,0.59209,0.19311,1.14793,1.21668,1.18846,1.04361,0,0.001274,0.001274,0.001274
13,4301.56,1.03737,1.5849,0.97196,1.10725,0,0.79176,0.67186,0.70003,0.49975,0.71255,0.57831,0.57101,0.19016,1.11463,1.22688,1.13946,1.02529,0,0.001208,0.001208,0.001208
14,4635.09,1.02485,1.58622,0.94856,1.10485,0,0.81706,0.69076,0.74897,0.51414,0.7158,0.58669,0.5664,0.18535,1.1116,1.2641,1.1067,1.01776,0,0.001142,0.001142,0.001142
15,4967.36,0.99385,1.56951,0.907,1.0905,0,0.84806,0.67248,0.77167,0.51781,0.7616,0.60299,0.60088,0.19471,1.1545,1.22308,1.10886,1.0223,0,0.001076,0.001076,0.001076
16,5298.96,0.99141,1.57652,0.92735,1.09357,0,0.8141,0.73896,0.77777,0.53162,0.81442,0.63052,0.66654,0.21257,1.12034,1.21548,1.04349,1.02758,0,0.00101,0.00101,0.00101
17,5629.44,0.98894,1.56895,0.91488,1.0874,0,0.83152,0.69076,0.75631,0.53014,0.77331,0.61446,0.62625,0.20874,1.11788,1.22194,1.10118,1.04075,0,0.000944,0.000944,0.000944
18,5956.21,0.96604,1.55937,0.90176,1.0861,0,0.80451,0.71888,0.77236,0.53754,0.74118,0.61847,0.62496,0.22113,1.0842,1.21195,1.08723,1.00307,0,0.000878,0.000878,0.000878
19,6285.06,0.96477,1.53303,0.87058,1.08314,0,0.79596,0.73632,0.77092,0.56687,0.73098,0.64659,0.64834,0.21269,0.99868,1.23588,1.00619,0.95859,0,0.000812,0.000812,0.000812
20,6612.1,0.93482,1.53709,0.86548,1.07197,0,0.86836,0.68879,0.78505,0.55373,0.80254,0.63658,0.67431,0.22569,1.0146,1.17553,1.01231,0.96855,0,0.000746,0.000746,0.000746
21,6930.52,0.86061,1.12117,0.89001,1.11881,0,0.83211,0.67675,0.77264,0.5552,0.78668,0.61847,0.66291,0.21941,1.0209,1.18255,1.01233,0.96074,0,0.00068,0.00068,0.00068
22,7250.06,0.85252,1.12067,0.8723,1.10938,0,0.85472,0.67871,0.76589,0.55588,0.7719,0.59036,0.62555,0.21628,1.00663,1.19252,1.01442,0.95205,0,0.000614,0.000614,0.000614
23,7569.92,0.82452,1.10731,0.83608,1.10433,0,0.82793,0.71084,0.78214,0.58756,0.75309,0.64659,0.66067,0.22688,0.95054,1.18946,0.98045,0.93161,0,0.000548,0.000548,0.000548
24,7883.19,0.79456,1.11628,0.82363,1.08726,0,0.82042,0.71557,0.78035,0.58281,0.81691,0.65863,0.68154,0.22305,0.92321,1.19923,0.97511,0.91966,0,0.000482,0.000482,0.000482
25,8196.31,0.78958,1.08771,0.79448,1.08585,0,0.85406,0.70683,0.78302,0.5909,0.811,0.62651,0.65955,0.24107,0.89805,1.17272,0.95003,0.89313,0,0.000416,0.000416,0.000416
26,8513.6,0.7534,1.08382,0.76846,1.06938,0,0.85277,0.68273,0.78903,0.60308,0.74628,0.64971,0.66909,0.23268,0.87935,1.18088,0.93309,0.89149,0,0.00035,0.00035,0.00035
27,8830.62,0.73544,1.06767,0.73688,1.07083,0,0.84425,0.74014,0.81043,0.62565,0.76836,0.67871,0.68643,0.24409,0.87032,1.17526,0.87681,0.8808,0,0.000284,0.000284,0.000284
28,9159.13,0.72247,1.06794,0.72482,1.05938,0,0.84018,0.73494,0.80148,0.60957,0.76495,0.69271,0.7077,0.25228,0.87132,1.16485,0.89038,0.87707,0,0.000218,0.000218,0.000218
29,9492.23,0.70186,1.05777,0.70696,1.04634,0,0.83005,0.73896,0.80187,0.61183,0.76363,0.65863,0.69151,0.24913,0.83557,1.16148,0.89019,0.88862,0,0.000152,0.000152,0.000152
30,9814.34,0.68797,1.05426,0.69606,1.03938,0,0.83576,0.73571,0.80851,0.62658,0.76135,0.67068,0.68466,0.23895,0.84632,1.17294,0.85684,0.88608,0,8.6e-05,8.6e-05,8.6e-05
